2018-02-22,9,ROCK,CONC,4
2018-02-22,16,LAFY,PHIL,2
2018-02-22,23,24TH,CAST,1
2018-02-23,10,NBRK,CIVC,33
2018-02-23,17,CIVC,ASHB,101
2018-02-24,0,DBRK,PHIL,1
2018-02-24,13,NCON,SFIA,1
2018-02-24,20,RICH,CIVC,3
2018-02-25,12,MONT,24TH,15
2018-02-25,20,12TH,ORIN,1
2018-02-26,8,PHIL,SSAN,6
2018-02-26,15,HAYW,DELN,3
2018-02-26,22,16TH,ASHB,16
2018-02-27,9,SFIA,NBRK,1
2018-02-27,16,PHIL,PLZA,2
2018-02-27,23,PHIL,SFIA,1
2018-02-28,10,SHAY,FTVL,7
2018-02-28,17,HAYW,BALB,6
2018-03-01,4,SBRN,MONT,2
2018-03-01,11,ROCK,CONC,3
2018-03-01,18,COLS,PHIL,8
2018-03-02,6,DALY,COLS,2
2018-03-02,12,RICH,FTVL,4
2018-03-02,18,WARM,SBRN,1
2018-03-03,8,POWL,WDUB,3
2018-03-03,16,16TH,EMBR,32
2018-03-04,0,COLM,SFIA,1
2018-03-04,15,DUBL,24TH,4
2018-03-04,23,MLBR,BALB,1
2018-03-05,10,SSAN,24TH,6
2018-03-05,17,MCAR,CAST,5
2018-03-06,5,DELN,MONT,50
2018-03-06,11,WOAK,MONT,68
2018-03-06,18,FRMT,LAKE,18
2018-03-07,6,FTVL,SHAY,8
2018-03-07,12,UCTY,19TH,1
2018-03-07,19,19TH,NBRK,22
2018-03-08,7,CIVC,WCRK,5
2018-03-08,13,OAKL,DUBL,13
2018-03-08,19,ROCK,WCRK,9
2018-03-09,7,SANL,MCAR,17
2018-03-09,14,DBRK,19TH,29
2018-03-09,20,DBRK,DUBL,4
2018-03-10,10,CIVC,ROCK,10
2018-03-10,17,DBRK,COLM,1
2018-03-11,9,19TH,DELN,1
2018-03-11,16,POWL,WDUB,11
2018-03-12,5,NCON,12TH,8
2018-03-12,12,CIVC,LAFY,1
2018-03-12,18,NBRK,EMBR,12
2018-03-13,6,SHAY,RICH,3
2018-03-13,13,EMBR,FTVL,19
2018-03-13,19,NBRK,POWL,2
2018-03-14,7,SANL,DUBL,15
2018-03-14,14,EMBR,UCTY,16
2018-03-14,20,LAKE,ROCK,1
2018-03-15,8,HAYW,LAKE,25
2018-03-15,15,BAYF,CAST,6
2018-03-15,21,DBRK,DELN,58
2018-03-16,9,FRMT,DUBL,4
2018-03-16,16,24TH,FTVL,24
2018-03-16,22,FTVL,DBRK,3
2018-03-17,12,DBRK,19TH,27
2018-03-17,19,GLEN,FTVL,2
2018-03-18,11,DALY,MONT,36
2018-03-18,18,RICH,POWL,5
2018-03-19,7,ORIN,NBRK,1
2018-03-19,14,COLS,PHIL,1
2018-03-19,20,HAYW,SANL,4
2018-03-20,9,16TH,HAYW,2
2018-03-20,15,WCRK,ORIN,2
2018-03-20,22,MCAR,SFIA,2
2018-03-21,10,CIVC,EMBR,54
2018-03-21,16,WOAK,CAST,2
2018-03-22,0,CIVC,RICH,4
2018-03-22,11,CONC,DELN,2
2018-03-22,17,SHAY,MONT,4
2018-03-23,5,FTVL,SHAY,2
2018-03-23,12,CIVC,FTVL,24
2018-03-23,18,HAYW,SHAY,4
2018-03-24,7,NCON,DALY,1
2018-03-24,15,BALB,24TH,16
2018-03-24,22,PLZA,ROCK,1
2018-03-25,14,19TH,24TH,7
2018-03-25,21,MCAR,19TH,2
2018-03-26,9,MONT,SSAN,2
2018-03-26,16,DUBL,UCTY,6
